created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1,month,tag,emoji
2020-07-24 18:19:12,Isle of Man,996,990,Isle of Man,Citizen of nowhere #RejoinEU,1,backoftheocean,#IsleofMan,beauti bonker film anoth era isleofman llandudno sameprocedureaseveryday,1.286727649419833e+18,John Sydney 🇪🇺 #FBPE libtard snowflake woke,0.5719,Politics,Isle of Man,7,#isleofman #llandudno #sameprocedureaseveryday,😊
2020-07-24 18:13:31,Isle of Man,1111,933,Isle of Man,Guernsey,0,Richard_D_E,#IsleofMan,tweep isleofman,1.2867262196528947e+18,Richard Evans,0.0,Politics,Isle of Man,7,#isleofman,🏻 👇
2020-07-24 18:12:49,Isle of Man,9,46,Isle of Man,"Ramsey, Isle of Man",1,Manxmutt,#IsleofMan,well could happen peel possibl moddey dhoo isleofman iom manx peel,1.286726042837758e+18,manxmutt,0.2732,Politics,Isle of Man,7,#isleofman #iom #manx #peel,🇮 🇲 😂 😆
2020-07-24 18:01:21,Isle of Man,9,46,Isle of Man,"Ramsey, Isle of Man",11,Manxmutt,#IsleofMan,best wish year old dylan walton despit difficulti walk taken incred challeng…,1.2867231554663465e+18,manxmutt,0.8052,Politics,Isle of Man,7,,
2020-07-24 18:00:15,Isle of Man,9,46,Isle of Man,"Ramsey, Isle of Man",1,Manxmutt,#IsleofMan,isleofman becam first entir nation gain unesco biospher statu show thrive divers,1.2867228785289462e+18,manxmutt,0.5267,Politics,Isle of Man,7,#isleofman,
2020-07-24 17:49:17,Isle of Man,5284,4659,Isle of Man,-,4,gittisun,#IsleofMan,band throwback june manx isleofman,1.286720121407443e+18,Gitti Poell,0.0,Politics,Isle of Man,7,#throwback #june2018 #manx #isleofman #f…,
2020-07-24 17:45:20,Isle of Man,9,46,Isle of Man,"Ramsey, Isle of Man",1,Manxmutt,#IsleofMan,whisperinginthetre exhibit manxfolklor imag markkinrad open john til,1.2867191260866028e+18,manxmutt,0.0,Politics,Isle of Man,7,#whisperinginthetrees #manxfolklore #markkinrade,
2020-07-24 17:23:41,Isle of Man,28,11,Isle of Man,"Ramsey, Isle of Man",0,AshleyCraftsby,#IsleofMan,rang launch page christmasinjuli christmasdecor handmadehour handmad isleofman iom shoploc supportsmallbusi,1.2867136764861235e+18,CraftsbyAshley,0.128,Politics,Isle of Man,7,#christmasinjuly #christmasdecor #handmadehour #handmade #christmas #christmas2020 #isleofman #iom #shoplocal #supportsmallbusiness,
2020-07-24 17:08:21,Isle of Man,1432,1221,Isle of Man,Isle of Man,4,MHKSTWFY,#IsleofMan,polic issu staement say fall bracket know yo…,1.2867098200291082e+18,mhkstheyworkforyou,0.0,Politics,Isle of Man,7,,
2020-07-24 17:08:17,Isle of Man,452,365,Isle of Man,"Ballasalla, Isle of Man",4,BALLASALLAIOM,#IsleofMan,polic issu staement say fall bracket know yo…,1.2867098028953887e+18,BALLASALLA IOM,0.0,Politics,Isle of Man,7,,
2020-07-24 17:08:14,Isle of Man,556,311,Isle of Man,Argentina,4,JamesBluntSTN,#IsleofMan,band throwback june manx isleofman,1.2867097912519352e+18,Stay The Night 🇦🇷,0.0,Politics,Isle of Man,7,#throwback #june2018 #manx #isleofman #f…,
2020-07-24 17:08:13,Isle of Man,627,928,Isle of Man,Ballasalla Isle of Man,4,ballasallaeddie,#IsleofMan,polic issu staement say fall bracket know yo…,1.2867097839077745e+18,eddie power,0.0,Politics,Isle of Man,7,,
2020-07-24 17:08:08,Isle of Man,3326,4282,Isle of Man,Isle of Man,4,CROWNDPN,#IsleofMan,polic issu staement say fall bracket know yo…,1.286709764089684e+18,crown dependency pol,0.0,Politics,Isle of Man,7,,
